Monday,06,July,2026,11:07:21:00009-VCID:77F7B61E06CD4D27F2-8022,VCDS Version: Release 26.3.0 (x64),Data version: 20260320 DS375.1
03G 906 021 QJ,,R4 1.9L EDC G000SG  1984,

,Group A:,'003,,,,Group B:,'010,,,,Group C:,'011
,,Engine Speed,Exhaust Gas,Exhaust Gas,Exhaust Gas,,Mass Air Flow,Atmospheric,Boost Pressure,Accel. Pedal Pos.,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure
,TIME,(G28),Recirculat. (spec.),Recirculat. (actual),Recirc. Duty Cycle,TIME,(actual),Pressure,(actual),Sensor 1 (G79),TIME,(G28),(specified),(actual),Control Duty Cycle
Marker,STAMP, /min, mg/str, mg/str, %,STAMP, mg/str, mbar, mbar, %,STAMP, /min, mbar, mbar, %
,0.01,903,230.0,265.0,83.6,0.19,260.0,999.6,1040.4,0.0,0.34,903,1091.4,1030.2,80.1
,0.50,903,225.0,245.0,80.5,0.66,235.0,999.6,1030.2,0.0,0.84,903,1091.4,1030.2,80.1
,1.01,903,225.0,235.0,79.3,1.18,235.0,999.6,1020.0,0.0,1.36,1029,1101.6,1020.0,80.1
,1.53,1260,225.0,205.0,71.0,1.70,165.0,999.6,1020.0,16.1,1.89,2121,1122.0,1009.8,75.8
,2.06,2394,330.0,220.0,80.5,2.22,280.0,999.6,1030.2,17.6,2.40,2331,1152.6,1060.8,71.0
,2.57,2415,440.0,275.0,97.8,2.73,500.0,999.6,1101.6,85.1,2.92,2394,2203.2,1285.2,61.2
,3.09,2415,830.0,855.0,100.6,3.26,995.0,999.6,1876.8,100.0,3.45,2520,2203.2,2254.2,28.8
,3.62,2583,835.0,970.0,100.6,3.80,975.0,999.6,2335.8,100.0,3.99,2688,2203.2,2376.6,30.4
,4.16,2772,840.0,990.0,100.6,4.31,960.0,999.6,2386.8,100.0,4.50,2877,2203.2,2376.6,29.2
,4.66,2961,850.0,960.0,100.6,4.82,970.0,999.6,2366.4,100.0,4.99,3045,2203.2,2356.2,27.2
,5.15,3087,850.0,950.0,100.6,5.31,935.0,999.6,2335.8,100.0,5.50,3192,2203.2,2325.6,25.3
,5.67,3234,850.0,905.0,100.6,5.84,910.0,999.6,2295.0,100.0,6.03,3360,2203.2,2274.6,24.5
,6.20,3402,850.0,890.0,100.6,6.37,880.0,999.6,2244.0,100.0,6.55,3486,2203.2,2223.6,23.7
,6.72,3528,850.0,860.0,100.6,6.89,850.0,999.6,2203.2,100.0,7.07,3759,2203.2,2193.0,24.1
,7.23,3654,850.0,840.0,100.6,7.37,840.0,999.6,2162.4,100.0,7.53,3759,2203.2,2162.4,25.6
,7.72,3780,850.0,830.0,100.6,7.89,810.0,999.6,2131.8,100.0,8.06,3864,2203.2,2111.4,28.4
,8.24,3906,850.0,800.0,100.6,8.41,790.0,999.6,2060.4,100.0,8.59,3969,2203.2,2060.4,30.8
,8.77,3990,850.0,785.0,100.6,8.95,785.0,999.6,2060.4,100.0,9.12,4074,2172.6,2070.6,30.0
,9.31,4095,850.0,785.0,100.6,9.48,775.0,999.6,2060.4,100.0,9.65,4074,1264.8,2060.4,4.7
,9.83,3990,505.0,590.0,100.6,9.98,565.0,999.6,1693.2,0.0,10.14,3276,1183.2,1570.8,48.1
,10.30,2940,365.0,535.0,82.5,10.47,440.0,999.6,1428.0,0.0,10.63,2331,1152.6,1407.6,78.1
,10.80,2037,230.0,270.0,65.1,10.97,230.0,999.6,1326.0,0.0,11.13,1512,1091.4,1285.2,80.1
,11.30,1239,250.0,290.0,87.6,11.48,320.0,999.6,1203.6,0.0,11.66,966,1091.4,1183.2,80.1
,11.82,924,250.0,310.0,90.3,12.02,315.0,999.6,1132.2,0.0,12.17,903,1091.4,1111.8,80.1
,12.33,903,250.0,300.0,88.8,12.48,300.0,999.6,1091.4,0.0,12.66,903,1091.4,1081.2,80.1
,12.82,903,250.0,285.0,87.2,12.99,270.0,999.6,1071.0,0.0,13.18,903,1091.4,1060.8,80.1
,13.34,903,245.0,255.0,85.2,13.51,265.0,999.6,1050.6,0.0,13.69,903,1091.4,1050.6,80.1
,13.86,903,245.0,245.0,84.0,14.03,250.0,999.6,1040.4,0.0,14.20,1218,1091.4,1040.4,80.1
,14.36,1449,245.0,185.0,69.4,14.52,175.0,999.6,1030.2,0.0,14.67,1680,1091.4,1030.2,80.1
,14.86,1680,235.0,195.0,74.6,15.02,205.0,999.6,1030.2,0.0,15.18,1659,1091.4,1040.4,80.1
,15.36,1659,235.0,225.0,79.3,15.52,225.0,999.6,1050.6,0.0,15.68,1638,1091.4,1050.6,80.1
,15.85,1638,240.0,230.0,80.5,16.03,240.0,999.6,1071.0,0.0,16.19,1617,1091.4,1071.0,80.1
,16.34,1617,240.0,235.0,81.3,16.50,240.0,999.6,1071.0,0.0,16.68,1617,1091.4,1081.2,80.1
,16.83,1617,245.0,235.0,81.7,16.99,235.0,999.6,1081.2,0.0,17.15,1596,1091.4,1081.2,80.1
,17.34,1596,245.0,245.0,82.1,17.51,250.0,999.6,1081.2,0.0,17.68,1596,1091.4,1081.2,80.1
,17.86,1575,245.0,250.0,80.9,18.02,240.0,999.6,1081.2,0.0,18.18,1554,1091.4,1081.2,80.1
,18.34,1533,245.0,235.0,81.7,18.53,240.0,999.6,1081.2,0.0,18.70,1491,1091.4,1081.2,80.1
,18.87,1491,240.0,240.0,82.5,19.06,245.0,999.6,1081.2,0.0,19.24,1470,1091.4,1071.0,80.1
