Thursday,17,September,2026,18:14:23:00009-VCID:77F7B61E06CD4D23F8-8022,VCDS Version: Release 25.3.1,Data version: 20250604 DS365.0
03G 906 021 QJ,,R4 1.9L EDC G000SG  1984,

,Group A:,'011,,,,Group B:,'003,,,,Group C:, Not Running
,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure,,Engine Speed,Exhaust Gas,Exhaust Gas,Exhaust Gas,,,,,
,TIME,(G28),(specified),(actual),Control Duty Cycle,TIME,(G28),Recirculat. (spec.),Recirculat. (actual),Recirc. Duty Cycle,TIME,,,,
Marker,STAMP, /min, mbar, mbar, %,STAMP, /min, mg/str, mg/str, %,STAMP,,,,
,0.02,2268,1846.2,1703.4,58.8,0.22,2268,565.0,775.0,100.6,,,,,
,0.40,2289,1866.6,1744.2,58.8,0.57,2289,560.0,810.0,100.6,,,,,
,0.73,2289,1866.6,1795.2,56.8,0.92,2310,620.0,795.0,100.6,,,,,
,1.09,2310,2009.4,1856.4,49.3,1.26,2331,825.0,915.0,100.6,,,,,
,1.44,2352,2193.0,2091.0,35.5,1.63,2373,825.0,1055.0,100.6,,,,,
,1.82,2352,1968.6,2356.2,12.6,1.98,2352,275.0,590.0,100.6,,,,,
,2.14,2394,1387.2,1774.8,41.4,2.32,2415,750.0,825.0,100.6,,,,,
,2.48,2415,2121.6,1948.2,41.8,2.64,2436,830.0,1005.0,100.6,,,,,
,2.83,2457,2193.0,2233.8,38.7,3.00,2478,835.0,975.0,100.6,,,,,
,3.17,2394,1152.6,2274.6,70.6,3.35,2373,285.0,595.0,100.6,,,,,
,3.54,2478,1377.0,1795.2,39.5,3.70,2436,460.0,785.0,100.6,,,,,
,3.90,2436,1560.6,1723.8,45.8,4.06,2478,710.0,655.0,100.6,,,,,
,4.23,2478,2193.0,1693.2,47.7,4.41,2520,835.0,1025.0,100.6,,,,,
,4.58,2520,2193.0,2264.4,30.4,4.74,2562,835.0,965.0,100.6,,,,,
,4.93,2583,2193.0,2315.4,30.8,5.10,2625,835.0,1000.0,100.6,,,,,
,5.27,2646,2193.0,2376.6,29.6,5.47,2709,835.0,985.0,100.6,,,,,
,5.64,2688,2193.0,2376.6,28.0,5.82,2730,835.0,980.0,100.6,,,,,
,6.02,2772,2193.0,2356.2,26.4,6.20,2793,840.0,970.0,100.6,,,,,
,6.36,2814,2193.0,2346.0,25.6,6.54,2835,840.0,960.0,100.6,,,,,
,6.70,2856,2193.0,2335.8,24.9,6.88,2877,840.0,945.0,100.6,,,,,
,7.07,2919,2193.0,2315.4,24.5,7.24,2940,845.0,935.0,100.6,,,,,
,7.41,2961,2193.0,2305.2,23.7,7.58,2982,850.0,945.0,100.6,,,,,
,7.76,3024,2193.0,2295.0,22.5,7.93,3045,850.0,930.0,100.6,,,,,
,8.13,3066,2193.0,2284.8,21.3,8.31,3087,850.0,915.0,100.6,,,,,
,8.48,3108,2193.0,2274.6,21.3,8.66,3129,850.0,890.0,100.6,,,,,
,8.81,3171,2193.0,2254.2,21.3,8.99,3171,850.0,870.0,100.6,,,,,
,9.17,3192,2193.0,2193.0,23.7,9.35,3213,850.0,830.0,100.6,,,,,
,9.53,3234,2193.0,2121.6,26.4,9.71,3255,850.0,830.0,100.6,,,,,
,9.89,3276,2193.0,2091.0,26.0,10.05,3297,850.0,840.0,100.6,,,,,
,10.25,3318,2193.0,2121.6,25.6,10.41,3339,850.0,840.0,100.6,,,,,
