Thursday,17,September,2026,18:15:20:00009-VCID:77F7B61E06CD4D23F8-8022,VCDS Version: Release 25.3.1,Data version: 20250604 DS365.0
03G 906 021 QJ,,R4 1.9L EDC G000SG  1984,

,Group A:,'011,,,,Group B:,'008,,,,Group C:, Not Running
,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure,,Engine Speed,Torque Request,Torque Limitation,Smoke Limitation,,,,,
,TIME,(G28),(specified),(actual),Control Duty Cycle,TIME,(G28),(Driver),,,TIME,,,,
Marker,STAMP, /min, mbar, mbar, %,STAMP, /min, Nm, Nm, Nm,STAMP,,,,
,0.18,2541,2193.0,2152.2,38.7,0.02,2499,236.7,363.6,309.9,,,,,
,0.53,2604,2193.0,2397.0,27.6,0.36,2562,348.9,361.1,314.8,,,,,
,0.88,2667,2193.0,2356.2,28.0,0.70,2625,348.9,361.1,319.6,,,,,
,1.23,2709,2193.0,2366.4,27.2,1.05,2688,346.5,358.7,327.0,,,,,
,1.57,2751,2193.0,2356.2,25.3,1.40,2751,344.0,356.2,334.3,,,,,
,1.91,2814,2193.0,2335.8,25.3,1.73,2772,344.0,356.2,334.3,,,,,
,2.25,2877,2193.0,2325.6,23.7,2.08,2856,341.6,353.8,334.3,,,,,
,2.62,2919,2193.0,2315.4,23.3,2.44,2919,339.2,348.9,334.3,,,,,
,2.98,2982,2193.0,2305.2,22.1,2.79,2940,339.2,348.9,334.3,,,,,
,3.31,3024,2193.0,2295.0,21.3,3.15,3003,336.7,346.5,334.3,,,,,
,3.66,3066,2193.0,2284.8,21.3,3.48,3045,336.7,346.5,334.3,,,,,
,4.02,3129,2193.0,2233.8,22.5,3.83,3108,336.7,344.0,334.3,,,,,
,4.37,3171,2193.0,2182.8,23.7,4.19,3150,334.3,344.0,334.3,,,,,
,4.71,3192,2193.0,2162.4,23.3,4.56,3192,334.3,341.6,334.3,,,,,
,5.06,3255,2193.0,2182.8,22.1,4.89,3213,331.8,341.6,334.3,,,,,
,5.41,3297,2193.0,2182.8,22.1,5.24,3255,331.8,341.6,334.3,,,,,
,5.77,3318,2193.0,2182.8,21.7,5.60,3297,331.8,339.2,334.3,,,,,
,6.13,3318,1927.8,2193.0,4.7,5.94,3339,329.4,339.2,334.3,,,,,
,6.48,3255,1183.2,1805.4,48.5,6.31,3297,0.0,339.2,334.3,,,,,
,6.84,3213,1183.2,1570.8,48.9,6.68,3255,0.0,341.6,280.6,,,,,
,7.16,3087,1183.2,1479.0,50.1,7.00,3150,0.0,344.0,253.8,,,,,
,7.49,2982,1183.2,1428.0,52.5,7.33,3045,0.0,346.5,248.9,,,,,
,7.85,2856,1173.0,1407.6,57.6,7.68,2919,0.0,351.4,246.4,,,,,
,23.25,2478,2193.0,1509.6,50.9,23.10,2478,139.1,366.0,256.2,,,,,
,23.58,2541,2193.0,1978.8,29.6,23.42,2520,351.4,363.6,300.1,,,,,
,23.93,2562,2193.0,2152.2,29.6,23.76,2562,348.9,361.1,312.3,,,,,
,24.29,2646,2193.0,2284.8,27.2,24.10,2625,348.9,361.1,319.6,,,,,
,24.64,2688,2193.0,2305.2,25.6,24.47,2667,346.5,358.7,329.4,,,,,
,24.97,2751,2193.0,2305.2,25.3,24.80,2709,346.5,358.7,331.8,,,,,
,25.32,2814,2193.0,2305.2,24.1,25.13,2772,344.0,356.2,334.3,,,,,
,25.67,2835,2193.0,2295.0,23.7,25.49,2835,344.0,353.8,334.3,,,,,
,26.02,2877,2193.0,2295.0,22.5,25.86,2877,341.6,353.8,334.3,,,,,
,26.37,2940,2193.0,2284.8,22.5,26.19,2919,339.2,351.4,334.3,,,,,
,26.70,3003,2193.0,2284.8,20.9,26.54,2982,339.2,348.9,334.3,,,,,
,27.08,3045,2193.0,2274.6,20.9,26.91,3024,336.7,346.5,334.3,,,,,
,27.40,3108,2193.0,2264.4,20.1,27.22,3066,336.7,346.5,334.3,,,,,
,27.73,3129,2193.0,2213.4,22.5,27.56,3108,336.7,344.0,334.3,,,,,
,28.09,3192,2193.0,2142.0,24.5,27.93,3150,334.3,344.0,334.3,,,,,
,28.46,3213,2193.0,2101.2,25.3,28.28,3192,334.3,341.6,334.3,,,,,
,28.79,3255,2193.0,2101.2,25.6,28.63,3234,331.8,341.6,334.3,,,,,
,29.12,3297,2193.0,2121.6,24.9,28.96,3255,331.8,341.6,334.3,,,,,
,29.47,3318,2193.0,2121.6,25.6,29.28,3318,331.8,339.2,334.3,,,,,
,29.82,3360,2193.0,2131.8,25.3,29.65,3339,329.4,339.2,334.3,,,,,
,30.16,3402,2193.0,2131.8,26.0,30.01,3360,329.4,339.2,334.3,,,,,
,30.48,3444,2193.0,2142.0,26.0,30.32,3423,329.4,336.7,334.3,,,,,
,30.82,3465,2193.0,2152.2,25.6,30.66,3444,327.0,336.7,334.3,,,,,
,31.16,3486,2193.0,2152.2,25.6,30.98,3465,327.0,336.7,334.3,,,,,
,31.50,3549,2193.0,2162.4,26.0,31.33,3507,327.0,334.3,334.3,,,,,
,31.86,3570,2193.0,2162.4,26.0,31.69,3570,324.5,334.3,334.3,,,,,
,32.22,3612,2193.0,2111.4,30.0,32.04,3591,241.6,334.3,334.3,,,,,
,32.56,3507,1193.4,1917.6,46.2,32.39,3570,0.0,334.3,334.3,,,,,
,32.92,3465,1193.4,1601.4,46.2,32.75,3528,0.0,334.3,290.4,,,,,
,33.27,3381,1193.4,1479.0,47.3,33.08,3381,0.0,336.7,251.3,,,,,
,33.62,3213,1183.2,1417.8,48.9,33.44,3318,0.0,339.2,241.6,,,,,
,33.96,3234,1183.2,1377.0,48.5,33.81,3255,0.0,341.6,239.1,,,,,
,34.28,3192,1183.2,1356.6,48.9,34.12,3213,0.0,341.6,239.1,,,,,
,34.63,3234,1856.4,1346.4,62.3,34.45,3213,2.4,341.6,236.7,,,,,
,34.99,3213,2193.0,1744.2,41.8,34.80,3192,200.1,341.6,241.6,,,,,
,35.34,3150,1183.2,1927.8,49.7,35.17,3192,2.4,341.6,334.3,,,,,
,35.69,3171,1183.2,1591.2,49.3,35.52,3192,0.0,341.6,295.2,,,,,
,36.04,3108,1183.2,1479.0,50.1,35.86,3129,0.0,344.0,253.8,,,,,
