Понедельник,14,Сентябрь,2026,20:06:56:00009-VCID:77F7B61E05CD4D2EFA-515A,VCDS Версия: RUS 24.7.1,Данные версии: 20240617 DS356.3
03G 906 021 QJ,,R4 1.9L EDC G000SG  1984,

,Группа A:,'011,,,,Группа B:,'003,,,,Группа C:,'008
,,Engine Speed,Boost Pressure,Boost Pressure,Charge Pressure,,Engine Speed,Exhaust Gas,Exhaust Gas,Exhaust Gas,,Engine Speed,Torque Request,Torque Limitation,Smoke Limitation
,ВРЕМЯ,(G28),(specified),(actual),Control Duty Cycle,ВРЕМЯ,(G28),Recirculat. (spec.),Recirculat. (actual),Recirc. Duty Cycle,ВРЕМЯ,(G28),(Driver),,
Маркер,ШТАМП, /min, mbar, mbar, %,ШТАМП, /min, mg/str, mg/str, %,ШТАМП, /min, Nm, Nm, Nm
,0.11,819,1091.4,1050.6,80.1,0.29,819,225.0,405.0,100.6,0.45,819,0.0,222.0,148.8
,0.63,819,1091.4,1050.6,80.1,0.81,819,225.0,415.0,100.6,0.98,819,0.0,222.0,148.8
,1.14,819,1091.4,1050.6,80.1,1.32,819,225.0,410.0,100.6,1.49,819,0.0,222.0,148.8
,1.67,819,1091.4,1050.6,80.1,1.83,819,225.0,410.0,100.6,1.99,819,0.0,222.0,148.8
,2.16,819,1091.4,1050.6,80.1,2.34,819,225.0,395.0,100.6,2.51,840,0.0,222.0,148.8
,2.67,819,1091.4,1050.6,80.1,2.82,819,240.0,400.0,100.6,2.98,1134,24.4,253.8,146.4
,3.16,1197,1122.0,1060.8,80.1,3.34,882,225.0,520.0,100.6,3.50,819,0.0,222.0,153.7
,3.65,924,1224.0,1091.4,78.1,3.83,1008,320.0,455.0,100.6,4.00,987,17.1,222.0,146.4
,4.18,1008,1122.0,1111.8,80.1,4.34,1008,365.0,450.0,100.6,4.50,1092,24.4,244.0,148.8
,4.67,1092,1122.0,1132.2,80.1,4.85,1092,375.0,490.0,100.6,5.01,1092,24.4,248.9,153.7
,5.17,1092,1132.2,1162.8,80.1,5.34,1092,410.0,475.0,100.6,5.52,1071,26.8,248.9,158.6
,5.68,1092,1183.2,1183.2,78.9,5.84,1113,445.0,490.0,100.6,6.00,1176,41.5,273.3,168.4
,6.17,1281,1152.6,1203.6,80.1,6.35,1344,465.0,530.0,100.6,6.52,1449,90.3,327.0,190.3
,6.68,1554,1581.0,1285.2,75.8,6.84,1680,625.0,605.0,100.6,7.00,1785,114.7,368.4,229.4
,7.17,1932,1744.2,1550.4,60.0,7.35,2037,440.0,830.0,100.6,7.51,2100,12.2,373.3,302.6
,7.67,2058,1122.0,1795.2,80.1,7.85,1722,225.0,600.0,100.6,8.02,1386,0.0,322.1,239.1
,8.18,1113,1091.4,1458.6,80.1,8.34,1071,325.0,370.0,100.6,8.51,1218,70.8,287.9,187.9
,8.69,1260,1152.6,1254.6,80.1,8.87,1197,465.0,515.0,100.6,9.03,1260,139.1,300.1,187.9
,9.19,1281,1315.8,1275.0,73.4,9.36,1323,525.0,550.0,100.6,9.54,1386,156.2,317.2,197.6
,9.70,1428,1468.8,1336.2,69.8,9.85,1449,440.0,620.0,100.6,10.03,1491,92.7,334.3,214.7
,10.21,1512,1264.8,1417.8,70.2,10.38,1554,445.0,620.0,100.6,10.54,1575,107.4,344.0,224.5
,10.70,1596,1346.4,1458.6,66.7,10.88,1638,505.0,640.0,100.6,11.05,1659,107.4,353.8,241.6
,11.21,1659,1152.6,1560.6,80.1,11.37,1680,225.0,620.0,100.6,11.55,1680,51.2,358.7,244.0
,11.72,1701,1162.8,1489.2,80.1,11.90,1722,365.0,635.0,100.6,12.06,1722,92.7,363.6,236.7
,12.22,1722,1285.2,1499.4,64.7,12.39,1743,415.0,685.0,100.6,12.57,1764,102.5,368.4,256.2
,12.73,1806,1326.0,1581.0,58.4,12.89,1806,405.0,730.0,100.6,13.05,1827,100.0,373.3,280.6
,13.23,1848,1315.8,1652.4,50.9,13.40,1848,250.0,775.0,100.6,13.56,1785,0.0,370.9,292.8
,13.72,1512,1091.4,1591.2,80.1,13.90,1218,230.0,450.0,100.6,14.07,1050,0.0,239.1,183.0
,14.25,1029,1091.4,1295.4,80.1,14.41,1008,230.0,405.0,100.6,14.58,1155,41.5,270.8,168.4
,14.76,1239,1101.6,1173.0,80.1,14.93,1197,230.0,470.0,100.6,15.09,1197,56.1,280.6,168.4
,15.25,1197,1132.2,1173.0,80.1,15.42,1218,370.0,485.0,100.6,15.60,1218,112.2,287.9,173.2
,15.76,1218,1234.2,1203.6,76.5,15.91,1176,230.0,510.0,100.6,16.07,1113,0.0,261.1,168.4
,16.25,945,1091.4,1193.4,80.1,16.42,861,225.0,400.0,100.6,16.60,861,0.0,222.0,161.0
,16.76,903,1091.4,1122.0,80.1,16.92,903,225.0,415.0,100.6,17.09,903,0.0,222.0,153.7
,17.27,903,1091.4,1091.4,80.1,17.45,903,225.0,420.0,100.6,17.60,1155,87.8,263.5,151.3
,17.76,1344,1122.0,1091.4,80.1,17.94,1491,225.0,435.0,100.6,18.11,1470,46.4,334.3,178.1
,18.29,1155,1111.8,1183.2,80.1,18.45,1008,390.0,470.0,100.6,18.61,1029,75.6,231.8,161.0
,18.78,1029,1111.8,1183.2,80.1,18.96,1050,360.0,460.0,100.6,19.12,1050,95.2,239.1,158.6
,19.28,1050,1173.0,1173.0,80.1,19.46,1071,415.0,480.0,100.6,19.63,1071,75.6,246.4,161.0
,19.80,1071,1111.8,1183.2,80.1,19.98,1071,300.0,480.0,100.6,20.15,1092,65.9,251.3,161.0
,20.33,1071,1101.6,1173.0,80.1,2
